yil,tr_nominal_usd,dunya_nominal_usd,tr_reel_usd_2024,dunya_reel_usd_2024,tr_dunya_orani,abd_tufe_2010_100
1960,267.091207552765,452.653355677478,2832.9,4801.1,0.5901,13.5630607803977
1961,274.350890943262,471.931933312191,2879.1,4952.5,0.5813,13.7082837473334
1962,298.241020884883,496.105588960377,3092.7,5144.6,0.6012,13.8726149993924
1963,337.019856859205,525.186416425983,3452.1,5379.4,0.6417,14.0445895655005
1964,354.365541117168,563.850666935202,3583.9,5702.5,0.6285,14.2242074456579
1965,369.967082204625,601.888592945637,3683.3,5992.2,0.6147,14.4496852101109
1966,424.984610131778,638.970700706876,4107.2,6175.2,0.6651,14.8853541109182
1967,459.449369053159,664.401307345425,4320.5,6247.8,0.6915,15.2980930695779
1968,501.12130904111,703.462134148118,4519.3,6344.1,0.7124,15.9515964207889
1969,543.947401329478,761.11140319217,4651.4,6508.5,0.7147,16.8229342224036
1970,487.565086682435,817.683493933039,3939.3,6606.5,0.5963,17.8051000777325
1971,430.897259673783,884.878986369128,3338.2,6855.2,0.487,18.5694314826577
1972,537.337529232528,1002.00152690776,4030.9,7516.5,0.5363,19.1770749495732
1973,661.080821885172,1201.53152954524,4670.6,8488.9,0.5502,20.3617886272073
1974,880.728167716848,1362.18919097786,5603.0,8665.9,0.6466,22.612744614712
1975,1121.54326914976,1488.93763061623,6537.3,8678.8,0.7533,24.6802610650347
1976,1227.92409658199,1589.73366543803,6768.5,8762.9,0.7724,26.0980958211709
1977,1371.96185651463,1766.27881654492,7100.8,9141.7,0.7768,27.7949115401048
1978,1510.18531064944,2055.4940430146,7262.1,9884.3,0.7347,29.9159311887723
1979,2013.37374286503,2335.18686803709,8702.3,10093.3,0.8622,33.2828110274678
1980,1515.64589850068,2587.00992594104,5769.3,9847.5,0.5859,37.7923663165264
1981,1536.66562064101,2628.61699908178,5301.5,9068.7,0.5846,41.6980997956942
1982,1360.23825219775,2554.07605312193,4421.7,8302.4,0.5326,44.254788345169
1983,1275.68337617131,2561.16933615596,4017.7,8066.4,0.4981,45.6764447583299
1984,1209.05149383313,2614.3302826929,3650.9,7894.3,0.4625,47.6407764689877
1985,1326.42701445307,2690.59161836012,3868.2,7846.4,0.493,49.3299488738723
1986,1461.49658654754,3118.57247275326,4182.7,8925.1,0.4686,50.2662548449057
1987,1649.96264794402,3487.87666375394,4555.1,9629.1,0.4731,52.1082935307754
1988,1685.69479240535,3829.99224771219,4471.4,10159.3,0.4401,54.2331348364675
1989,1948.59179454794,3930.50666963009,4930.8,9945.9,0.4958,56.8509698983363
1990,2689.52621921233,4338.94333025321,6457.1,10417.1,0.6199,59.919760489111
1991,2649.27259974439,4453.89641554733,6102.0,10258.6,0.5948,62.4573407534626
1992,2743.65320297936,4679.98200500774,6133.7,10462.5,0.5863,64.3490609806525
1993,3057.93737480422,4685.29564260401,6640.3,10174.0,0.6527,66.2484245218916
1994,2176.2801813809,4967.01235983571,4605.7,10511.7,0.4381,67.9758134970225
1995,3845.98997887841,5463.19624240532,7917.2,11246.3,0.704,69.8828203523109
1996,4041.36210281686,5507.22343967666,8082.4,11014.1,0.7338,71.9312285175105
1997,4197.37636165642,5408.5695352216,8202.7,10569.7,0.7761,73.6127576083459
1998,4331.02761275037,5302.33956683372,8334.5,10203.7,0.8168,74.755433058709
1999,3973.77763854116,5401.2271886284,7483.3,10171.4,0.7357,76.391102265249
2000,4199.3798635759,5512.56177163867,7649.8,10042.0,0.7618,78.9707207568715
2001,3052.2256706793,5404.20269822848,5407.3,9574.0,0.5648,81.2025684592531
2002,3591.08628982587,5539.32465002692,6262.6,9660.2,0.6483,82.490466876552
2003,4649.63668068586,6129.8663827398,7928.6,10452.8,0.7585,84.3630788186188
2004,5979.6054216148,6818.00375324836,9930.7,11323.0,0.877,86.6216781201727
2005,7331.85429430255,7290.5661453297,11776.9,11710.5,1.0057,89.5605323721102
2006,7990.08251407245,7803.19467222601,12433.1,12142.2,1.024,92.4497050827274
2007,9766.91734545294,8685.33108680793,14776.4,13140.1,1.1245,95.0869923788515
2008,10913.4079047769,9425.73781604823,15900.5,13733.0,1.1578,98.7374773853445
2009,9076.92472236977,8827.04322994899,13272.0,12906.6,1.0283,98.3864199710624
2010,10698.9699409757,9555.06543969498,15391.3,13745.7,1.1197,100.0
2011,11373.6355760885,10496.9310026996,15861.1,14638.5,1.0835,103.156841568622
2012,11776.7593362033,10597.8460782595,16090.3,14479.6,1.1112,105.291504532867
2013,12635.5570016068,10759.3457336689,17014.4,14488.0,1.1744,106.833848874866
2014,12209.3862327674,10912.2447775638,16178.1,14459.3,1.1189,108.566932118964
2015,11064.6494504662,10191.9752512662,14643.9,13488.9,1.0856,108.695721960694
2016,10984.3643169061,10239.4656645738,14356.5,13383.0,1.0727,110.06700893427
2017,10756.3877677883,10784.3950896297,13765.4,13801.2,0.9974,112.411557302308
2018,9684.11819884721,11344.728168656,12097.6,14172.1,0.8536,115.157303224791
2019,9395.23378001368,11417.5958587724,11527.8,14009.3,0.8229,117.244195476228
2020,8798.11791709313,10999.4917581781,10663.6,13331.8,0.7999,118.690501577198
2021,9981.76398411336,12472.9074157191,11555.4,14439.3,0.8003,124.266413825838
2022,10897.8397861365,12876.2377124072,11681.1,13801.7,0.8464,134.21120616846
2023,13375.0947282864,13313.8575826001,13769.6,13706.6,1.0046,139.73579356326
2024,15892.7157287241,13717.0909956338,15892.7,13717.1,1.1586,143.857336014608
2025,18599.4420922378,14405.8484595528,,,1.2911,
