area_id,parent_id,hierarchy
TR-R-akdeniz,TR,geographic
TR-R-guneydogu_anadolu,TR,geographic
TR-R-ege,TR,geographic
TR-R-dogu_anadolu,TR,geographic
TR-R-karadeniz,TR,geographic
TR-R-ic_anadolu,TR,geographic
TR-R-marmara,TR,geographic
TR-01,TR-R-akdeniz,geographic
TR-02,TR-R-guneydogu_anadolu,geographic
TR-03,TR-R-ege,geographic
TR-04,TR-R-dogu_anadolu,geographic
TR-05,TR-R-karadeniz,geographic
TR-06,TR-R-ic_anadolu,geographic
TR-07,TR-R-akdeniz,geographic
TR-08,TR-R-karadeniz,geographic
TR-09,TR-R-ege,geographic
TR-10,TR-R-marmara,geographic
TR-11,TR-R-marmara,geographic
TR-12,TR-R-dogu_anadolu,geographic
TR-13,TR-R-dogu_anadolu,geographic
TR-14,TR-R-karadeniz,geographic
TR-15,TR-R-akdeniz,geographic
TR-16,TR-R-marmara,geographic
TR-17,TR-R-marmara,geographic
TR-18,TR-R-marmara,geographic
TR-19,TR-R-karadeniz,geographic
TR-20,TR-R-ege,geographic
TR-21,TR-R-guneydogu_anadolu,geographic
TR-22,TR-R-marmara,geographic
TR-23,TR-R-dogu_anadolu,geographic
TR-24,TR-R-dogu_anadolu,geographic
TR-25,TR-R-dogu_anadolu,geographic
TR-26,TR-R-ic_anadolu,geographic
TR-27,TR-R-guneydogu_anadolu,geographic
TR-28,TR-R-karadeniz,geographic
TR-29,TR-R-karadeniz,geographic
TR-30,TR-R-guneydogu_anadolu,geographic
TR-31,TR-R-akdeniz,geographic
TR-32,TR-R-akdeniz,geographic
TR-33,TR-R-akdeniz,geographic
TR-34,TR-R-marmara,geographic
TR-35,TR-R-ege,geographic
TR-36,TR-R-dogu_anadolu,geographic
TR-37,TR-R-karadeniz,geographic
TR-38,TR-R-ic_anadolu,geographic
TR-39,TR-R-marmara,geographic
TR-40,TR-R-ic_anadolu,geographic
TR-41,TR-R-marmara,geographic
TR-42,TR-R-ic_anadolu,geographic
TR-43,TR-R-ege,geographic
TR-44,TR-R-dogu_anadolu,geographic
TR-45,TR-R-ege,geographic
