area_id,population,source_id,vintage,retrieved_at
TR-01,2283609,turkiyeapi,2025,2026-08-13
TR-02,617821,turkiyeapi,2025,2026-08-13
TR-03,751808,turkiyeapi,2025,2026-08-13
TR-04,491489,turkiyeapi,2025,2026-08-13
TR-05,342242,turkiyeapi,2025,2026-08-13
TR-06,5910320,turkiyeapi,2025,2026-08-13
TR-07,2777677,turkiyeapi,2025,2026-08-13
TR-08,167531,turkiyeapi,2025,2026-08-13
TR-09,1172107,turkiyeapi,2025,2026-08-13
TR-10,1284517,turkiyeapi,2025,2026-08-13
TR-11,228995,turkiyeapi,2025,2026-08-13
TR-12,282299,turkiyeapi,2025,2026-08-13
TR-13,360423,turkiyeapi,2025,2026-08-13
TR-14,327173,turkiyeapi,2025,2026-08-13
TR-15,277226,turkiyeapi,2025,2026-08-13
TR-16,3263011,turkiyeapi,2025,2026-08-13
TR-17,573976,turkiyeapi,2025,2026-08-13
TR-18,200549,turkiyeapi,2025,2026-08-13
TR-19,519590,turkiyeapi,2025,2026-08-13
TR-20,1060975,turkiyeapi,2025,2026-08-13
TR-21,1852356,turkiyeapi,2025,2026-08-13
TR-22,422438,turkiyeapi,2025,2026-08-13
TR-23,605678,turkiyeapi,2025,2026-08-13
TR-24,239625,turkiyeapi,2025,2026-08-13
TR-25,736877,turkiyeapi,2025,2026-08-13
TR-26,927956,turkiyeapi,2025,2026-08-13
TR-27,2222415,turkiyeapi,2025,2026-08-13
TR-28,455074,turkiyeapi,2025,2026-08-13
TR-29,138807,turkiyeapi,2025,2026-08-13
TR-30,279681,turkiyeapi,2025,2026-08-13
TR-31,1577531,turkiyeapi,2025,2026-08-13
TR-32,445303,turkiyeapi,2025,2026-08-13
TR-33,1956428,turkiyeapi,2025,2026-08-13
TR-34,15754053,turkiyeapi,2025,2026-08-13
TR-35,4504185,turkiyeapi,2025,2026-08-13
TR-36,268991,turkiyeapi,2025,2026-08-13
TR-37,379934,turkiyeapi,2025,2026-08-13
TR-38,1458991,turkiyeapi,2025,2026-08-13
TR-39,379595,turkiyeapi,2025,2026-08-13
TR-40,242777,turkiyeapi,2025,2026-08-13
TR-41,2161171,turkiyeapi,2025,2026-08-13
TR-42,2343409,turkiyeapi,2025,2026-08-13
TR-43,570478,turkiyeapi,2025,2026-08-13
TR-44,755854,turkiyeapi,2025,2026-08-13
TR-45,1477756,turkiyeapi,2025,2026-08-13
TR-46,1146278,turkiyeapi,2025,2026-08-13
TR-47,903576,turkiyeapi,2025,2026-08-13
TR-48,1099547,turkiyeapi,2025,2026-08-13
TR-49,389127,turkiyeapi,2025,2026-08-13
TR-50,320150,turkiyeapi,2025,2026-08-13
TR-51,374492,turkiyeapi,2025,2026-08-13
TR-52,768087,turkiyeapi,2025,2026-08-13
TR-53,346947,turkiyeapi,2025,2026-08-13
TR-54,1123693,turkiyeapi,2025,2026-08-13
TR-55,1392403,turkiyeapi,2025,2026-08-13
TR-56,332369,turkiyeapi,2025,2026-08-13
TR-57,225848,turkiyeapi,2025,2026-08-13
TR-58,631401,turkiyeapi,2025,2026-08-13
TR-59,1208441,turkiyeapi,2025,2026-08-13
TR-60,614141,turkiyeapi,2025,2026-08-13
TR-61,823323,turkiyeapi,2025,2026-08-13
TR-62,85083,turkiyeapi,2025,2026-08-13
TR-63,2265800,turkiyeapi,2025,2026-08-13
TR-64,374405,turkiyeapi,2025,2026-08-13
TR-65,1112013,turkiyeapi,2025,2026-08-13
TR-66,413208,turkiyeapi,2025,2026-08-13
TR-67,585203,turkiyeapi,2025,2026-08-13
TR-68,441136,turkiyeapi,2025,2026-08-13
TR-69,82836,turkiyeapi,2025,2026-08-13
TR-70,262355,turkiyeapi,2025,2026-08-13
TR-71,282830,turkiyeapi,2025,2026-08-13
TR-72,662626,turkiyeapi,2025,2026-08-13
TR-73,573666,turkiyeapi,2025,2026-08-13
TR-74,206663,turkiyeapi,2025,2026-08-13
TR-75,90392,turkiyeapi,2025,2026-08-13
TR-76,205071,turkiyeapi,2025,2026-08-13
TR-77,311635,turkiyeapi,2025,2026-08-13
TR-78,249614,turkiyeapi,2025,2026-08-13
TR-79,157363,turkiyeapi,2025,2026-08-13
TR-80,564123,turkiyeapi,2025,2026-08-13
TR-81,415622,turkiyeapi,2025,2026-08-13
