area_id,area_level,name_tr
TR,country,Türkiye
TR-R-akdeniz,region,Akdeniz
TR-R-dogu_anadolu,region,Doğu Anadolu
TR-R-ege,region,Ege
TR-R-guneydogu_anadolu,region,Güneydoğu Anadolu
TR-R-ic_anadolu,region,İç Anadolu
TR-R-karadeniz,region,Karadeniz
TR-R-marmara,region,Marmara
TR1,nuts1,İstanbul
TR2,nuts1,Batı Marmara
TR3,nuts1,Ege
TR4,nuts1,Doğu Marmara
TR5,nuts1,Batı Anadolu
TR6,nuts1,Akdeniz
TR7,nuts1,Orta Anadolu
TR8,nuts1,Batı Karadeniz
TR9,nuts1,Doğu Karadeniz
TRA,nuts1,Kuzeydoğu Anadolu
TRB,nuts1,Ortadoğu Anadolu
TRC,nuts1,Güneydoğu Anadolu
TR10,nuts2,İstanbul
TR21,nuts2,Tekirdağ
TR22,nuts2,Balıkesir
TR31,nuts2,İzmir
TR32,nuts2,Aydın
TR33,nuts2,Manisa
TR41,nuts2,Bursa
TR42,nuts2,Kocaeli
TR51,nuts2,Ankara
TR52,nuts2,Konya
TR61,nuts2,Antalya
TR62,nuts2,Adana
TR63,nuts2,Hatay
TR71,nuts2,Kırıkkale
TR72,nuts2,Kayseri
TR81,nuts2,Zonguldak
TR82,nuts2,Kastamonu
TR83,nuts2,Samsun
TR90,nuts2,Trabzon
TRA1,nuts2,Erzurum
TRA2,nuts2,Ağrı
TRB1,nuts2,Malatya
TRB2,nuts2,Van
TRC1,nuts2,Gaziantep
TRC2,nuts2,Şanlıurfa
TRC3,nuts2,Mardin
TR-01,province,Adana
TR-02,province,Adıyaman
TR-03,province,Afyonkarahisar
TR-04,province,Ağrı
TR-05,province,Amasya
TR-06,province,Ankara
TR-07,province,Antalya
TR-08,province,Artvin
TR-09,province,Aydın
TR-10,province,Balıkesir
TR-11,province,Bilecik
TR-12,province,Bingöl
TR-13,province,Bitlis
TR-14,province,Bolu
TR-15,province,Burdur
TR-16,province,Bursa
TR-17,province,Çanakkale
TR-18,province,Çankırı
TR-19,province,Çorum
TR-20,province,Denizli
TR-21,province,Diyarbakır
TR-22,province,Edirne
TR-23,province,Elazığ
TR-24,province,Erzincan
TR-25,province,Erzurum
TR-26,province,Eskişehir
TR-27,province,Gaziantep
TR-28,province,Giresun
TR-29,province,Gümüşhane
TR-30,province,Hakkari
TR-31,province,Hatay
TR-32,province,Isparta
TR-33,province,Mersin
TR-34,province,İstanbul
TR-35,province,İzmir
TR-36,province,Kars
TR-37,province,Kastamonu
TR-38,province,Kayseri
TR-39,province,Kırklareli
TR-40,province,Kırşehir
TR-41,province,Kocaeli
TR-42,province,Konya
TR-43,province,Kütahya
TR-44,province,Malatya
TR-45,province,Manisa
TR-46,province,Kahramanmaraş
TR-47,province,Mardin
TR-48,province,Muğla
TR-49,province,Muş
TR-50,province,Nevşehir
TR-51,province,Niğde
TR-52,province,Ordu
TR-53,province,Rize
TR-54,province,Sakarya
TR-55,province,Samsun
TR-56,province,Siirt
TR-57,province,Sinop
TR-58,province,Sivas
TR-59,province,Tekirdağ
TR-60,province,Tokat
TR-61,province,Trabzon
TR-62,province,Tunceli
TR-63,province,Şanlıurfa
TR-64,province,Uşak
TR-65,province,Van
TR-66,province,Yozgat
TR-67,province,Zonguldak
TR-68,province,Aksaray
TR-69,province,Bayburt
TR-70,province,Karaman
TR-71,province,Kırıkkale
TR-72,province,Batman
TR-73,province,Şırnak
TR-74,province,Bartın
TR-75,province,Ardahan
TR-76,province,Iğdır
TR-77,province,Yalova
TR-78,province,Karabük
TR-79,province,Kilis
TR-80,province,Osmaniye
TR-81,province,Düzce
