area_id,group_id,group_label,member_count,basis
TR-01-001,TR-01-001,Aladağ,1,single
TR-01-002,TR-01-002,Ceyhan,1,single
TR-01-003,TR-01-003,Seyhan + Çukurova + Sarıçam,3,observed
TR-01-004,TR-01-004,Feke,1,single
TR-01-005,TR-01-005,İmamoğlu,1,single
TR-01-006,TR-01-006,Karaisalı,1,single
TR-01-007,TR-01-007,Karataş,1,single
TR-01-008,TR-01-008,Kozan,1,single
TR-01-009,TR-01-009,Pozantı,1,single
TR-01-010,TR-01-010,Saimbeyli,1,single
TR-01-011,TR-01-003,Seyhan + Çukurova + Sarıçam,3,observed
TR-01-012,TR-01-003,Seyhan + Çukurova + Sarıçam,3,observed
TR-01-013,TR-01-013,Tufanbeyli,1,single
TR-01-014,TR-01-014,Yumurtalık,1,single
TR-01-015,TR-01-015,Yüreğir,1,single
TR-02-001,TR-02-001,Adıyaman,1,single
TR-02-002,TR-02-002,Besni,1,single
TR-02-003,TR-02-003,Çelikhan,1,single
TR-02-004,TR-02-004,Gerger,1,single
TR-02-005,TR-02-005,Gölbaşı,1,single
TR-02-006,TR-02-006,Kâhta,1,single
TR-02-007,TR-02-007,Samsat,1,single
TR-02-008,TR-02-008,Sincik,1,single
TR-02-009,TR-02-009,Tut,1,single
TR-03-001,TR-03-001,Afyonkarahisar,1,single
TR-03-002,TR-03-002,Başmakçı,1,single
TR-03-003,TR-03-003,Bayat,1,single
TR-03-004,TR-03-004,Bolvadin,1,single
TR-03-005,TR-03-005,Çay,1,single
TR-03-006,TR-03-006,Çobanlar,1,single
TR-03-007,TR-03-007,Dazkırı,1,single
TR-03-008,TR-03-008,Dinar,1,single
TR-03-009,TR-03-009,Emirdağ,1,single
TR-03-010,TR-03-010,Evciler,1,single
TR-03-011,TR-03-011,Hocalar,1,single
TR-03-012,TR-03-012,İhsaniye,1,single
TR-03-013,TR-03-013,İscehisar,1,single
TR-03-014,TR-03-014,Kızılören,1,single
TR-03-015,TR-03-015,Sandıklı,1,single
TR-03-016,TR-03-016,Sinanpaşa,1,single
TR-03-017,TR-03-017,Sultandağı,1,single
TR-03-018,TR-03-018,Şuhut,1,single
TR-04-001,TR-04-001,Ağrı,1,single
TR-04-002,TR-04-002,Diyadin,1,single
TR-04-003,TR-04-003,Doğubayazıt,1,single
TR-04-004,TR-04-004,Eleşkirt,1,single
TR-04-005,TR-04-005,Hamur,1,single
TR-04-006,TR-04-006,Patnos,1,single
TR-04-007,TR-04-007,Taşlıçay,1,single
TR-04-008,TR-04-008,Tutak,1,single
TR-05-001,TR-05-001,Amasya,1,single
TR-05-002,TR-05-002,Göynücek,1,single
TR-05-003,TR-05-003,Gümüşhacıköy,1,single
TR-05-004,TR-05-004,Hamamözü,1,single
TR-05-005,TR-05-005,Merzifon,1,single
TR-05-006,TR-05-006,Suluova,1,single
TR-05-007,TR-05-007,Taşova,1,single
TR-06-001,TR-06-001,Akyurt,1,single
TR-06-002,TR-06-002,Altındağ,1,single
TR-06-003,TR-06-003,Ayaş,1,single
TR-06-004,TR-06-004,Bala,1,single
TR-06-005,TR-06-005,Beypazarı,1,single
TR-06-006,TR-06-006,Çamlıdere,1,single
TR-06-007,TR-06-007,Çankaya,1,single
TR-06-008,TR-06-008,Çubuk,1,single
TR-06-009,TR-06-009,Elmadağ,1,single
TR-06-010,TR-06-010,Etimesgut,1,single
TR-06-011,TR-06-011,Evren,1,single
TR-06-012,TR-06-012,Gölbaşı,1,single
TR-06-013,TR-06-013,Güdül,1,single
TR-06-014,TR-06-014,Haymana,1,single
TR-06-015,TR-06-015,Kahramankazan,1,single
TR-06-016,TR-06-016,Kalecik,1,single
TR-06-017,TR-06-017,Keçiören,1,single
TR-06-018,TR-06-018,Kızılcahamam,1,single
TR-06-019,TR-06-019,Mamak,1,single
TR-06-020,TR-06-020,Nallıhan,1,single
TR-06-021,TR-06-021,Polatlı,1,single
TR-06-022,TR-06-022,Pursaklar,1,single
TR-06-023,TR-06-023,Sincan,1,single
TR-06-024,TR-06-024,Şereflikoçhisar,1,single
TR-06-025,TR-06-025,Yenimahalle,1,single
TR-06-x1815,TR-06-x1815,Kazan,1,single
TR-07-001,TR-07-001,Akseki,1,single
TR-07-002,TR-07-002,Kepez + Muratpaşa + Konyaaltı + Döşemealtı + Aksu + Merkez,6,observed
TR-07-003,TR-07-003,Alanya,1,single
TR-07-004,TR-07-004,Demre,1,single
TR-07-005,TR-07-002,Kepez + Muratpaşa + Konyaaltı + Döşemealtı + Aksu + Merkez,6,observed
TR-07-006,TR-07-006,Elmalı,1,single
TR-07-007,TR-07-007,Finike,1,single
TR-07-008,TR-07-008,Gazipaşa,1,single
TR-07-009,TR-07-009,Gündoğmuş,1,single
TR-07-010,TR-07-010,İbradı,1,single
TR-07-011,TR-07-011,Kaş,1,single
TR-07-012,TR-07-012,Kemer,1,single
TR-07-013,TR-07-002,Kepez + Muratpaşa + Konyaaltı + Döşemealtı + Aksu + Merkez,6,observed
TR-07-014,TR-07-002,Kepez + Muratpaşa + Konyaaltı + Döşemealtı + Aksu + Merkez,6,observed
TR-07-015,TR-07-015,Korkuteli,1,single
TR-07-016,TR-07-016,Kumluca,1,single
TR-07-017,TR-07-017,Manavgat,1,single
TR-07-018,TR-07-002,Kepez + Muratpaşa + Konyaaltı + Döşemealtı + Aksu + Merkez,6,observed
TR-07-019,TR-07-019,Serik,1,single
TR-07-x1138,TR-07-002,Kepez + Muratpaşa + Konyaaltı + Döşemealtı + Aksu + Merkez,6,observed
TR-08-001,TR-08-001,Ardanuç,1,single
TR-08-002,TR-08-002,Arhavi,1,single
TR-08-003,TR-08-003,Artvin,1,single
TR-08-004,TR-08-004,Borçka,1,single
TR-08-005,TR-08-005,Hopa,1,single
TR-08-006,TR-08-006,Kemalpaşa,1,single
TR-08-007,TR-08-007,Murgul,1,single
TR-08-008,TR-08-008,Şavşat,1,single
TR-08-009,TR-08-009,Yusufeli,1,single
TR-09-001,TR-09-001,Bozdoğan,1,single
TR-09-002,TR-09-002,Buharkent,1,single
TR-09-003,TR-09-003,Çine,1,single
TR-09-004,TR-09-004,Didim,1,single
TR-09-005,TR-09-005,Efeler,1,single
TR-09-006,TR-09-006,Germencik,1,single
TR-09-007,TR-09-007,İncirliova,1,single
TR-09-008,TR-09-008,Karacasu,1,single
TR-09-009,TR-09-009,Karpuzlu,1,single
TR-09-010,TR-09-010,Koçarlı,1,single
TR-09-011,TR-09-011,Köşk,1,single
TR-09-012,TR-09-012,Kuşadası,1,single
TR-09-013,TR-09-013,Kuyucak,1,single
TR-09-014,TR-09-014,Nazilli,1,single
TR-09-015,TR-09-015,Söke,1,single
TR-09-016,TR-09-016,Sultanhisar,1,single
TR-09-017,TR-09-017,Yenipazar,1,single
TR-09-x1159,TR-09-x1159,Merkez,1,single
TR-10-001,TR-10-001,Karesi + Altıeylül + Merkez,3,observed
TR-10-002,TR-10-002,Ayvalık,1,single
TR-10-003,TR-10-003,Balya,1,single
TR-10-004,TR-10-004,Bandırma,1,single
TR-10-005,TR-10-005,Bigadiç,1,single
TR-10-006,TR-10-006,Burhaniye,1,single
TR-10-007,TR-10-007,Dursunbey,1,single
TR-10-008,TR-10-008,Edremit,1,single
TR-10-009,TR-10-009,Erdek,1,single
TR-10-010,TR-10-010,Gömeç,1,single
TR-10-011,TR-10-011,Gönen,1,single
TR-10-012,TR-10-012,Havran,1,single
TR-10-013,TR-10-013,İvrindi,1,single
TR-10-014,TR-10-001,Karesi + Altıeylül + Merkez,3,observed
TR-10-015,TR-10-015,Kepsut,1,single
TR-10-016,TR-10-016,Manyas,1,single
TR-10-017,TR-10-017,Marmara,1,single
TR-10-018,TR-10-018,Savaştepe,1,single
TR-10-019,TR-10-019,Sındırgı,1,single
TR-10-020,TR-10-020,Susurluk,1,single
TR-10-x1168,TR-10-001,Karesi + Altıeylül + Merkez,3,observed
TR-11-001,TR-11-001,Bilecik,1,single
TR-11-002,TR-11-002,Bozüyük,1,single
TR-11-003,TR-11-003,Gölpazarı,1,single
TR-11-004,TR-11-004,İnhisar,1,single
TR-11-005,TR-11-005,Osmaneli,1,single
TR-11-006,TR-11-006,Pazaryeri,1,single
TR-11-007,TR-11-007,Söğüt,1,single
TR-11-008,TR-11-008,Yenipazar,1,single
TR-12-001,TR-12-001,Adaklı,1,single
TR-12-002,TR-12-002,Bingöl,1,single
TR-12-003,TR-12-003,Genç,1,single
TR-12-004,TR-12-004,Karlıova,1,single
