area_id,area_level,name_tr,parent_id,valid_from,valid_to,source_id,source_area_id
TR-01-001,district,Aladağ,TR-01,,,hdx_cod_ab_tur,TR-D-01-001
TR-01-002,district,Ceyhan,TR-01,,,hdx_cod_ab_tur,TR-D-01-002
TR-01-003,district,Çukurova,TR-01,,,hdx_cod_ab_tur,TR-D-01-003
TR-01-004,district,Feke,TR-01,,,hdx_cod_ab_tur,TR-D-01-004
TR-01-005,district,İmamoğlu,TR-01,,,hdx_cod_ab_tur,TR-D-01-005
TR-01-006,district,Karaisalı,TR-01,,,hdx_cod_ab_tur,TR-D-01-006
TR-01-007,district,Karataş,TR-01,,,hdx_cod_ab_tur,TR-D-01-007
TR-01-008,district,Kozan,TR-01,,,hdx_cod_ab_tur,TR-D-01-008
TR-01-009,district,Pozantı,TR-01,,,hdx_cod_ab_tur,TR-D-01-009
TR-01-010,district,Saimbeyli,TR-01,,,hdx_cod_ab_tur,TR-D-01-010
TR-01-011,district,Sarıçam,TR-01,,,hdx_cod_ab_tur,TR-D-01-011
TR-01-012,district,Seyhan,TR-01,,,hdx_cod_ab_tur,TR-D-01-012
TR-01-013,district,Tufanbeyli,TR-01,,,hdx_cod_ab_tur,TR-D-01-013
TR-01-014,district,Yumurtalık,TR-01,,,hdx_cod_ab_tur,TR-D-01-014
TR-01-015,district,Yüreğir,TR-01,,,hdx_cod_ab_tur,TR-D-01-015
TR-02-001,district,Adıyaman,TR-02,,,hdx_cod_ab_tur,TR-D-02-001
TR-02-002,district,Besni,TR-02,,,hdx_cod_ab_tur,TR-D-02-002
TR-02-003,district,Çelikhan,TR-02,,,hdx_cod_ab_tur,TR-D-02-003
TR-02-004,district,Gerger,TR-02,,,hdx_cod_ab_tur,TR-D-02-004
TR-02-005,district,Gölbaşı,TR-02,,,hdx_cod_ab_tur,TR-D-02-005
TR-02-006,district,Kâhta,TR-02,,,hdx_cod_ab_tur,TR-D-02-006
TR-02-007,district,Samsat,TR-02,,,hdx_cod_ab_tur,TR-D-02-007
TR-02-008,district,Sincik,TR-02,,,hdx_cod_ab_tur,TR-D-02-008
TR-02-009,district,Tut,TR-02,,,hdx_cod_ab_tur,TR-D-02-009
TR-03-001,district,Afyonkarahisar,TR-03,,,hdx_cod_ab_tur,TR-D-03-001
TR-03-002,district,Başmakçı,TR-03,,,hdx_cod_ab_tur,TR-D-03-002
TR-03-003,district,Bayat,TR-03,,,hdx_cod_ab_tur,TR-D-03-003
TR-03-004,district,Bolvadin,TR-03,,,hdx_cod_ab_tur,TR-D-03-004
TR-03-005,district,Çay,TR-03,,,hdx_cod_ab_tur,TR-D-03-005
TR-03-006,district,Çobanlar,TR-03,,,hdx_cod_ab_tur,TR-D-03-006
TR-03-007,district,Dazkırı,TR-03,,,hdx_cod_ab_tur,TR-D-03-007
TR-03-008,district,Dinar,TR-03,,,hdx_cod_ab_tur,TR-D-03-008
TR-03-009,district,Emirdağ,TR-03,,,hdx_cod_ab_tur,TR-D-03-009
TR-03-010,district,Evciler,TR-03,,,hdx_cod_ab_tur,TR-D-03-010
TR-03-011,district,Hocalar,TR-03,,,hdx_cod_ab_tur,TR-D-03-011
TR-03-012,district,İhsaniye,TR-03,,,hdx_cod_ab_tur,TR-D-03-012
TR-03-013,district,İscehisar,TR-03,,,hdx_cod_ab_tur,TR-D-03-013
TR-03-014,district,Kızılören,TR-03,,,hdx_cod_ab_tur,TR-D-03-014
TR-03-015,district,Sandıklı,TR-03,,,hdx_cod_ab_tur,TR-D-03-015
TR-03-016,district,Sinanpaşa,TR-03,,,hdx_cod_ab_tur,TR-D-03-016
TR-03-017,district,Sultandağı,TR-03,,,hdx_cod_ab_tur,TR-D-03-017
TR-03-018,district,Şuhut,TR-03,,,hdx_cod_ab_tur,TR-D-03-018
TR-04-001,district,Ağrı,TR-04,,,hdx_cod_ab_tur,TR-D-04-001
TR-04-002,district,Diyadin,TR-04,,,hdx_cod_ab_tur,TR-D-04-002
TR-04-003,district,Doğubayazıt,TR-04,,,hdx_cod_ab_tur,TR-D-04-003
TR-04-004,district,Eleşkirt,TR-04,,,hdx_cod_ab_tur,TR-D-04-004
TR-04-005,district,Hamur,TR-04,,,hdx_cod_ab_tur,TR-D-04-005
TR-04-006,district,Patnos,TR-04,,,hdx_cod_ab_tur,TR-D-04-006
TR-04-007,district,Taşlıçay,TR-04,,,hdx_cod_ab_tur,TR-D-04-007
TR-04-008,district,Tutak,TR-04,,,hdx_cod_ab_tur,TR-D-04-008
TR-05-001,district,Amasya,TR-05,,,hdx_cod_ab_tur,TR-D-05-001
TR-05-002,district,Göynücek,TR-05,,,hdx_cod_ab_tur,TR-D-05-002
TR-05-003,district,Gümüşhacıköy,TR-05,,,hdx_cod_ab_tur,TR-D-05-003
TR-05-004,district,Hamamözü,TR-05,,,hdx_cod_ab_tur,TR-D-05-004
TR-05-005,district,Merzifon,TR-05,,,hdx_cod_ab_tur,TR-D-05-005
TR-05-006,district,Suluova,TR-05,,,hdx_cod_ab_tur,TR-D-05-006
TR-05-007,district,Taşova,TR-05,,,hdx_cod_ab_tur,TR-D-05-007
TR-06-001,district,Akyurt,TR-06,,,hdx_cod_ab_tur,TR-D-06-001
TR-06-002,district,Altındağ,TR-06,,,hdx_cod_ab_tur,TR-D-06-002
TR-06-003,district,Ayaş,TR-06,,,hdx_cod_ab_tur,TR-D-06-003
TR-06-004,district,Bala,TR-06,,,hdx_cod_ab_tur,TR-D-06-004
TR-06-005,district,Beypazarı,TR-06,,,hdx_cod_ab_tur,TR-D-06-005
