area_id,area_level,name_tr,parent_id,municipality,medas_code,first_seen,last_seen,source_id
TR-02-001-411,neighbourhood,Alitaşı Mah.,TR-02-001,Adıyaman Bel.,411,2013,2025,tuik_medas
TR-02-001-412,neighbourhood,Altınşehir Mah.,TR-02-001,Adıyaman Bel.,412,2013,2025,tuik_medas
TR-02-001-413,neighbourhood,Bahçecik Mah.,TR-02-001,Adıyaman Bel.,413,2013,2025,tuik_medas
TR-02-001-414,neighbourhood,Bahçelievler Mah.,TR-02-001,Adıyaman Bel.,414,2013,2025,tuik_medas
TR-02-001-415,neighbourhood,Barbaros Hayrettin Mah.,TR-02-001,Adıyaman Bel.,415,2013,2025,tuik_medas
TR-02-001-416,neighbourhood,Cumhuriyet Mah.,TR-02-001,Adıyaman Bel.,416,2013,2025,tuik_medas
TR-02-001-417,neighbourhood,Eskisaray Mah.,TR-02-001,Adıyaman Bel.,417,2013,2025,tuik_medas
TR-02-001-418,neighbourhood,Fatih Mah.,TR-02-001,Adıyaman Bel.,418,2013,2025,tuik_medas
TR-02-001-419,neighbourhood,Hocaömer Mah.,TR-02-001,Adıyaman Bel.,419,2013,2025,tuik_medas
TR-02-001-420,neighbourhood,İmamağa Mah.,TR-02-001,Adıyaman Bel.,420,2013,2025,tuik_medas
TR-02-001-421,neighbourhood,Kapcami Mah.,TR-02-001,Adıyaman Bel.,421,2013,2025,tuik_medas
TR-02-001-422,neighbourhood,Karapınar Mah.,TR-02-001,Adıyaman Bel.,422,2013,2025,tuik_medas
TR-02-001-423,neighbourhood,Kayalık Mah.,TR-02-001,Adıyaman Bel.,423,2013,2025,tuik_medas
TR-02-001-424,neighbourhood,Malazgirt Mah.,TR-02-001,Adıyaman Bel.,424,2013,2025,tuik_medas
TR-02-001-425,neighbourhood,Mara Mah.,TR-02-001,Adıyaman Bel.,425,2013,2025,tuik_medas
TR-02-001-426,neighbourhood,Mehmet Akif Mah.,TR-02-001,Adıyaman Bel.,426,2013,2025,tuik_medas
TR-02-001-427,neighbourhood,Mimar Sinan Mah.,TR-02-001,Adıyaman Bel.,427,2013,2025,tuik_medas
TR-02-001-428,neighbourhood,Musalla Mah.,TR-02-001,Adıyaman Bel.,428,2013,2025,tuik_medas
TR-02-001-429,neighbourhood,Örenli Mah.,TR-02-001,Adıyaman Bel.,429,2013,2025,tuik_medas
TR-02-001-430,neighbourhood,Türkiye Petrolleri Mah.,TR-02-001,Adıyaman Bel.,430,2013,2025,tuik_medas
TR-02-001-431,neighbourhood,Sıratut Mah.,TR-02-001,Adıyaman Bel.,431,2013,2025,tuik_medas
TR-02-001-432,neighbourhood,Siteler Mah.,TR-02-001,Adıyaman Bel.,432,2013,2025,tuik_medas
TR-02-001-433,neighbourhood,Sümerevler Mah.,TR-02-001,Adıyaman Bel.,433,2013,2025,tuik_medas
TR-02-001-434,neighbourhood,Turgut Reis Mah.,TR-02-001,Adıyaman Bel.,434,2013,2025,tuik_medas
TR-02-001-435,neighbourhood,Ulucami Mah.,TR-02-001,Adıyaman Bel.,435,2013,2025,tuik_medas
TR-02-001-436,neighbourhood,Varlık Mah.,TR-02-001,Adıyaman Bel.,436,2013,2025,tuik_medas
TR-02-001-437,neighbourhood,Yavuz Selim Mah.,TR-02-001,Adıyaman Bel.,437,2013,2025,tuik_medas
TR-02-001-438,neighbourhood,Yeni Mah.,TR-02-001,Adıyaman Bel.,438,2013,2025,tuik_medas
TR-02-001-439,neighbourhood,Yeni Sanayi Mah.,TR-02-001,Adıyaman Bel.,439,2013,2025,tuik_medas
TR-02-001-440,neighbourhood,Yenipınar Mah.,TR-02-001,Adıyaman Bel.,440,2013,2025,tuik_medas
TR-02-001-441,neighbourhood,Yeşilyurt Mah.,TR-02-001,Adıyaman Bel.,441,2013,2025,tuik_medas
TR-02-001-442,neighbourhood,Yunus Emre Mah.,TR-02-001,Adıyaman Bel.,442,2013,2025,tuik_medas
TR-02-001-443,neighbourhood,Esentepe Mah.,TR-02-001,Adıyaman Bel.,443,2013,2025,tuik_medas
TR-02-001-450,neighbourhood,Çatderesi Mah.,TR-02-001,Yaylakonak Bel.,450,2013,2025,tuik_medas
TR-02-001-451,neighbourhood,Çimenke Mah.,TR-02-001,Yaylakonak Bel.,451,2013,2025,tuik_medas
TR-02-001-452,neighbourhood,İncekoz Mah.,TR-02-001,Yaylakonak Bel.,452,2013,2025,tuik_medas
TR-02-001-453,neighbourhood,Karaçalı Mah.,TR-02-001,Yaylakonak Bel.,453,2013,2025,tuik_medas
TR-02-001-454,neighbourhood,Merkez Mah.,TR-02-001,Yaylakonak Bel.,454,2013,2025,tuik_medas
TR-02-001-455,neighbourhood,Zivar Mah.,TR-02-001,Yaylakonak Bel.,455,2013,2025,tuik_medas
TR-02-001-462,neighbourhood,Cumhuriyet Mah.,TR-02-001,Kömür Bel.,462,2013,2025,tuik_medas
TR-02-001-463,neighbourhood,Esence Mah.,TR-02-001,Kömür Bel.,463,2013,2025,tuik_medas
TR-02-001-464,neighbourhood,Hasankan Mah.,TR-02-001,Kömür Bel.,464,2013,2025,tuik_medas
TR-02-001-465,neighbourhood,Hürriyet Mah.,TR-02-001,Kömür Bel.,465,2013,2025,tuik_medas
TR-02-001-466,neighbourhood,Serintepe Mah.,TR-02-001,Kömür Bel.,466,2013,2025,tuik_medas
TR-02-001-467,neighbourhood,Yakacık Mah.,TR-02-001,Kömür Bel.,467,2013,2025,tuik_medas
TR-02-001-468,neighbourhood,Yeşilyurt Mah.,TR-02-001,Kömür Bel.,468,2013,2025,tuik_medas
TR-02-001-469,neighbourhood,Bahçelievler Mah.,TR-02-001,Kömür Bel.,469,2013,2025,tuik_medas
TR-02-001-99337,neighbourhood,Gazi Mah.,TR-02-001,Kömür Bel.,99337,2013,2025,tuik_medas
TR-02-001-99640,neighbourhood,Mustafa Yücel Özbilgin Mah.,TR-02-001,Kömür Bel.,99640,2013,2025,tuik_medas
TR-02-002-100238,neighbourhood,Oyalı Mah.,TR-02-002,Besni Bel.,100238,2013,2025,tuik_medas
TR-02-002-100239,neighbourhood,Aşağısöğütlü Mah.,TR-02-002,Köseceli Bel.,100239,2013,2025,tuik_medas
TR-02-002-183194,neighbourhood,15 Temmuz Şehitler Mah.,TR-02-002,Besni Bel.,183194,2018,2025,tuik_medas
TR-02-002-199683,neighbourhood,Ali Erdemoğlu Mah.,TR-02-002,Besni Bel.,199683,2018,2025,tuik_medas
TR-02-002-470,neighbourhood,Aşağısarhan Mah.,TR-02-002,Besni Bel.,470,2013,2025,tuik_medas
TR-02-002-471,neighbourhood,Cirit Meydanı Mah.,TR-02-002,Besni Bel.,471,2013,2025,tuik_medas
TR-02-002-472,neighbourhood,Çat Mah.,TR-02-002,Besni Bel.,472,2013,2025,tuik_medas
TR-02-002-473,neighbourhood,Dumlupınar Mah.,TR-02-002,Besni Bel.,473,2013,2025,tuik_medas
TR-02-002-474,neighbourhood,Erdemoğlu Mah.,TR-02-002,Besni Bel.,474,2013,2025,tuik_medas
