area_id,area_level,name_tr,parent_id,bucak,medas_code,first_seen,last_seen,source_id
TR-02-001-103275,village,Ağveren Köy.,TR-02-001,,103275,2019,2025,tuik_medas
TR-02-001-37665,village,Damlıca Köy.,TR-02-001,Merkez Bucağı,37665,2013,2025,tuik_medas
TR-02-001-37666,village,Işıklı Köy.,TR-02-001,Merkez Bucağı,37666,2013,2025,tuik_medas
TR-02-001-37777,village,100.Yıl Köy.,TR-02-001,Merkez Bucağı,37777,2013,2025,tuik_medas
TR-02-001-408492,village,Karaman Köy.,TR-02-001,,408492,2023,2025,tuik_medas
TR-02-001-49357,village,Küçükhasancık Köy.,TR-02-001,Merkez Bucağı,49357,2014,2025,tuik_medas
TR-02-001-49406,village,Bozatlı Köy.,TR-02-001,Merkez Bucağı,49406,2015,2025,tuik_medas
TR-02-001-49418,village,Şemikan Köy.,TR-02-001,Merkez Bucağı,49418,2015,2025,tuik_medas
TR-02-001-49514,village,Tecir Köy.,TR-02-001,,49514,2017,2025,tuik_medas
TR-02-001-49515,village,Çakmaklar Köy.,TR-02-001,Merkez Bucağı,49515,2015,2025,tuik_medas
TR-02-001-49538,village,Kalburcu Köy.,TR-02-001,,49538,2018,2025,tuik_medas
TR-02-001-49541,village,Ağikan Köy.,TR-02-001,Merkez Bucağı,49541,2016,2025,tuik_medas
TR-02-001-49559,village,Ağcin Köy.,TR-02-001,,49559,2017,2025,tuik_medas
TR-02-001-523,village,Ahmethoca Köy.,TR-02-001,Merkez Bucağı,523,2013,2025,tuik_medas
TR-02-001-524,village,Alibey Köy.,TR-02-001,Merkez Bucağı,524,2013,2025,tuik_medas
TR-02-001-525,village,Terman Köy.,TR-02-001,Merkez Bucağı,525,2013,2025,tuik_medas
TR-02-001-526,village,Aydınlar Köy.,TR-02-001,Merkez Bucağı,526,2013,2025,tuik_medas
TR-02-001-527,village,Bağdere Köy.,TR-02-001,Merkez Bucağı,527,2013,2025,tuik_medas
TR-02-001-528,village,Başpınar Köy.,TR-02-001,Merkez Bucağı,528,2013,2025,tuik_medas
TR-02-001-529,village,Boztepe Köy.,TR-02-001,Merkez Bucağı,529,2013,2025,tuik_medas
TR-02-001-530,village,Börkenek Köy.,TR-02-001,Merkez Bucağı,530,2013,2025,tuik_medas
TR-02-001-531,village,Büklüm Köy.,TR-02-001,Merkez Bucağı,531,2013,2025,tuik_medas
TR-02-001-532,village,Büyükkavaklı Köy.,TR-02-001,Merkez Bucağı,532,2013,2025,tuik_medas
TR-02-001-533,village,Büyükkırıklı Köy.,TR-02-001,Merkez Bucağı,533,2013,2025,tuik_medas
TR-02-001-534,village,Çamyurdu Köy.,TR-02-001,Merkez Bucağı,534,2013,2025,tuik_medas
TR-02-001-535,village,Çayırlı Köy.,TR-02-001,Merkez Bucağı,535,2013,2025,tuik_medas
TR-02-001-536,village,Çemberlitaş Köy.,TR-02-001,Merkez Bucağı,536,2013,2025,tuik_medas
TR-02-001-537,village,Damdırmaz Köy.,TR-02-001,Merkez Bucağı,537,2013,2025,tuik_medas
